adapt_UBM,delta,emo_rank,enrm_threshold,n_components,n_static,score_norm,spk_norm,test,test_std,train,train_std,tv_rank,utt_norm
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.777027027027027,0.022409626961861,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.783783783783784,0.023406091994174,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.820945945945946,0.030778491821434,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.827702702702703,0.044178029833183,1,0,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.837837837837838,0.044819253923722,1,0,75,NormalizationMethod.none
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.807432432432432,0.065072163122494,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.817567567567567,0.029452019888788,0.998873873873874,0.001950507666181,75,NormalizationMethod.none
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.827702702702703,0.044178029833183,0.998873873873874,0.001950507666181,75,NormalizationMethod.none
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.827702702702703,0.017554568995631,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.820945945945946,0.025949816715772,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.814189189189189,0.047176486634355,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.827702702702703,0.017554568995631,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.820945945945946,0.025949816715772,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.807432432432432,0.065072163122494,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.85472972972973,0.036229071941769,1,0,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.864864864864865,0.03939832361382,1,0,75,NormalizationMethod.cms
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.817567567567567,0.024361832942324,0.998873873873874,0.001950507666181,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.810810810810811,0.009555497043061,0.998873873873874,0.001950507666181,75,NormalizationMethod.cms
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cms,0.814189189189189,0.047176486634355,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.851351351351351,0.025281468829554,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.844594594594595,0.022409626961861,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.807432432432432,0.065072163122494,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.851351351351351,0.025281468829554,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.844594594594595,0.022409626961861,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.851351351351351,0.025281468829554,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.844594594594595,0.022409626961861,1,0,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.814189189189189,0.047176486634355,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.817567567567567,0.015108567415539,0.997747747747748,0.002252252252252,75,NormalizationMethod.cmvn
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.814189189189189,0.017554568995631,0.998873873873874,0.001950507666181,75,NormalizationMethod.cmvn
False,Delta.sdc,5,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.804054054054054,0.024361832942324,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.807432432432432,0.030778491821434,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.none,0.820945945945946,0.022153508528047,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.820945945945946,0.022153508528047,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cms,0.807432432432432,0.030778491821434,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,17,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.820945945945946,0.030778491821434,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.820945945945946,0.022153508528047,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.807432432432432,0.030778491821434,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,5,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.827702702702703,0.030778491821434,1,0,75,NormalizationMethod.feature_warping
False,Delta.sdc,6,-1000,128,20,NormalizationMethod.length_norm,NormalizationMethod.feature_warping,0.820945945945946,0.03746802873787,1,0,75,NormalizationMethod.feature_warping
True,Delta.sdc,0,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.817567567567567,0.06989243535668,0.978603603603604,0.008042149131242,75,NormalizationMethod.none
True,Delta.sdc,1,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.807432432432432,0.056024067404652,0.983108108108108,0.009217739607964,75,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.824324324324324,0.050562937659107,0.983108108108108,0.009217739607964,75,NormalizationMethod.none
True,Delta.sdc,2,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.831081081081081,0.056125836911609,0.983108108108108,0.014020157204942,75,NormalizationMethod.none
True,Delta.sdc,4,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.820945945945946,0.050900402612566,0.986486486486486,0.010563999459062,75,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.831081081081081,0.045325702246617,0.986486486486486,0.010563999459062,75,NormalizationMethod.none
True,Delta.sdc,7,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.814189189189189,0.048134482597213,0.990990990990991,0.010563999459062,75,NormalizationMethod.none
True,Delta.sdc,6,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.831081081081081,0.035109137991261,0.988738738738739,0.012128749565618,75,NormalizationMethod.none
True,Delta.sdc,8,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.810810810810811,0.041651445966007,0.989864864864865,0.010259497273811,75,NormalizationMethod.none
True,Delta.sdc,9,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.814189189189189,0.045199622163039,0.992117117117117,0.008649938905257,75,NormalizationMethod.none
True,Delta.sdc,10,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.810810810810811,0.041651445966007,0.992117117117117,0.008649938905257,75,NormalizationMethod.none
True,Delta.sdc,15,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.807432432432432,0.038667307913039,0.994369369369369,0.004908669981465,75,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.70945945945946,0.045325702246617,0.933558558558559,0.012489342912623,60,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.804054054054054,0.051012394832911,0.98536036036036,0.008042149131242,60,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.716216216216216,0.056531082873924,0.934684684684685,0.011261261261261,60,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.814189189189189,0.029257614992718,0.990990990990991,0.007122246982361,60,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.719594594594595,0.033614440442791,0.94481981981982,0.015066540721013,70,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.726351351351351,0.033614440442791,0.948198198198198,0.01369991560878,70,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.810810810810811,0.041651445966007,0.988738738738739,0.009286273931571,70,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.817567567567567,0.045325702246617,0.989864864864865,0.003734937826977,70,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.820945945945946,0.071106639121112,0.989864864864865,0.007384502842682,80,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.706081081081081,0.045199622163039,0.952702702702703,0.009286273931571,80,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.722972972972973,0.059290299914812,0.952702702702703,0.006756756756757,80,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.827702702702703,0.045199622163039,0.994369369369369,0.003734937826977,80,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.719594594594595,0.042060471614827,0.962837837837838,0.008042149131242,90,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.831081081081081,0.051899633431545,0.994369369369369,0.004908669981465,90,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.none,0.716216216216216,0.033101212740313,0.971846846846847,0.010259497273811,90,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.none,0.834459459459459,0.047176486634355,0.996621621621622,0.003734937826977,90,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.722972972972973,0.043264352955627,0.929054054054054,0.011204813480931,60,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.722972972972973,0.062294219306033,0.925675675675676,0.01293820415887,60,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.800675675675676,0.036229071941769,0.986486486486486,0.008427156276518,60,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.777027027027027,0.036386248696855,0.987612612612613,0.011204813480931,60,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.824324324324324,0.047777485215307,0.983108108108108,0.008649938905257,70,NormalizationMethod.none
True,Delta.sdc,3,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.706081081081081,0.061464207427906,0.947072072072072,0.017841193150625,70,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.length_norm,NormalizationMethod.cmvn,0.716216216216216,0.041651445966007,0.945945945945946,0.011484278183768,70,NormalizationMethod.none
True,Delta.sdc,5,-1000,64,17,NormalizationMethod.none,NormalizationMethod.cmvn,0.817567567567568,0.03997351204797,0.983108108108108,0.011648739226113,70,NormalizationMethod.none
